Collection Terms,Tags,Category_1,Category_2,Category_3
#Riley,Winter Storm Riley,,,
winter storm riley,Shooting,Shooting,,
riley power,Shooting,Shooting,,
riley wind,Shooting,Shooting,,
#noreaster,Shooting,Shooting,,
riley flood,Shooting,Shooting,,
east coast,Shooting,Shooting,,
#Transit,Deloitte Transit,,,
#MTA,Shooting,Shooting,,
#mtabus,Shooting,Shooting,,
#Publictransportation,Shooting,Shooting,,
#nycsubway,Shooting,Shooting,,
#metro,Shooting,Shooting,,
#CTA,Deloitte Transit,,,
#bustimings,Shooting,Shooting,,
#Traffic,Shooting,Shooting,,
#metrofail,Shooting,Shooting,,
#carsharing,Shooting,Shooting,,
#ridesharing,Deloitte Transit,,,
#intermodal,Shooting,Shooting,,
#train,Shooting,Shooting,,
#station,Shooting,Shooting,,
#rapidtransit,Shooting,Shooting,,
#BART,Shooting,Shooting,,
#walkout,Shooting,Shooting,,
Maryland school shooting,National,National,,
Paleobiology,Shooting,Shooting,,
Paleontology,Shooting,Shooting,,
Dinosaurologist,Shooting,Shooting,,
Dinosaur,Shooting,Shooting,,
Prehistory,Shooting,Shooting,,
Extinction Paleontology,Shooting,Shooting,,
Volcano Paleontology,Shooting,Shooting,,
indominus rex,Shooting,Shooting,,
life finds a way,Shooting,Shooting,,
isla nublar,Shooting,Shooting,,
Jurassic,Shooting,Shooting,,
Jurassic park,Shooting,Shooting,,
Jurassic world,Shooting,Shooting,,
raptor squad,Shooting,Shooting,,
reptors,Shooting,Shooting,,
mount sibo,Shooting,Shooting,,
Claire Dearing,Shooting,Shooting,,
Dr Grant,Shooting,Shooting,,
Dr Sattler,Shooting,Shooting,,
Dr Ian Malcolm,Shooting,Shooting,,
Benjamin Lockwood,Shooting,Shooting,,
Justice smith,Shooting,Shooting,,
franklin webb,Shooting,Shooting,,
Daniella Pineda,Shooting,Shooting,,
Zia Rodriguez,Shooting,Shooting,,
Geraldine Chaplin,Shooting,Shooting,,
Rafe spall,Shooting,Shooting,,
Eli mills,Shooting,Shooting,,
mass extinction,Shooting,Shooting,,
embryo,Shooting,Shooting,,
archeology,Shooting,Shooting,,
allosaurus,Shooting,Shooting,,
ankylosaurus,Shooting,Shooting,,
apatosaurus,Shooting,Shooting,,
baryonyx,Shooting,Shooting,,
brachiosaurus,Shooting,Shooting,,
compsognathus,Shooting,Shooting,,
gallimimus,Shooting,Shooting,,
indoraptor,Shooting,Shooting,,
pteranodon,Shooting,Shooting,,
sinoceratops,Shooting,Shooting,,
stegosaurus,Shooting,Shooting,,
stygimoloch,Shooting,Shooting,,
triceratops,Shooting,Shooting,,
tyrannosaurus rex,Shooting,Shooting,,
velociraptor,Shooting,Shooting,,
concavenator,Shooting,Shooting,,
dilophosaurus,Shooting,Shooting,,
dimetrodon,Shooting,Shooting,,
dracorex,Shooting,Shooting,,
edmontosaurus,Shooting,Shooting,,
kosmoceratops,Shooting,Shooting,,
mononykus,Shooting,Shooting,,
protoceratops,Shooting,Shooting,,
Indiana school shooting,Shooting,Shooting,,
Noblesville school shooting,Shooting,Shooting,,
mosasaurus,Shooting,Shooting,,
Trex,Paleontology,,,
T-rex,Shooting,Shooting,,
Tyrannosaurus,Shooting,Shooting,,
FEMA,Shooting,Shooting,,
RedCross,Response,Response,,
virginia_tech,/Disaster_Types/Manmade/Conflict_Based/School_Shooting,/Disaster_Types/Manmade/Conflict_Based/School_Shooting,,
vt_news,International,International,,
car_crash,National,National,,
Climate_Change,Road,Road,,
confederate_flag,Natural,Natural,,
El_Chapo_escape,National,National,,
Joaquin,Earthquake,Earthquake,,
Oregon,International,International,,
paris_shooting,National,National,,
pothole,National,National,,
Race_Together,Water,Water,,
Umpqua_Community_College,/Disaster_Types/Manmade/Conflict_Based/School_Shooting,/Disaster_Types/Manmade/Conflict_Based/School_Shooting,,
oregon school shooting,Water,Water,,
Eclipse2017,Shooting,Shooting,,
Hurricane Irma,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,,
VegasShooting,/Disaster_Types/Manmade/Conflict_Based/Terrorism/Shooting,/Disaster_Types/Manmade/Conflict_Based/Terrorism/Shooting,,
Dunbar High School shooting,/Disaster_Types/Manmade/Conflict_Based/School_Shooting,/Disaster_Types/Manmade/Conflict_Based/School_Shooting,,
NIU shooting,Shooting,Shooting,,
Virginia Tech shooting,/Disaster_Types/Manmade/Conflict_Based/School_Shooting,/Disaster_Types/Manmade/Conflict_Based/School_Shooting,,
University Alabama shooting,/Disaster_Types/Manmade/Conflict_Based/School_Shooting,/Disaster_Types/Manmade/Conflict_Based/School_Shooting,,
acid rain,Shooting,Shooting,,
air pollution,Shooting,Shooting,,
atmospheric concentration,Shooting,Shooting,,
biodiversity,Shooting,Shooting,,
biodiversity disaster,Shooting,Shooting,,
bioenergy,Shooting,Shooting,,
biofuels,Shooting,Shooting,,
blackout area,Shooting,Shooting,,
CAFE standards,Shooting,Shooting,,
carbon dioxide,Shooting,Shooting,,
carbon emissions,Shooting,Shooting,,
carbon footprint,Shooting,Shooting,,
carbon sequestration,Shooting,Shooting,,
carbon tax,Shooting,Shooting,,
clean electrons,Shooting,Shooting,,
clean energy,Shooting,Shooting,,
clean power,Shooting,Shooting,,
clean tech,Shooting,Shooting,,
climate change,Shooting,Shooting,,
Co2 emissions,Shooting,Shooting,,
conservation,Shooting,Shooting,,
conservation tillage,Shooting,Shooting,,
coral reefs,Shooting,Shooting,,
corals bleached,Shooting,Shooting,,
corn ethanol,Shooting,Shooting,,
deforestation,Shooting,Shooting,,
desalination,Shooting,Shooting,,
digital humanitarian,Shooting,Shooting,,
dirty fuel,Shooting,Shooting,,
dirty power plants,Shooting,Shooting,,
drought,Shooting,Shooting,,
ecological,Shooting,Shooting,,
ecology,Shooting,Shooting,,
economic development,Shooting,Shooting,,
economic growth,Shooting,Shooting,,
electric car,Shooting,Shooting,,
electric bus,Shooting,Shooting,,
electricity grid,Shooting,Shooting,,
endangered species,Shooting,Shooting,,
Energy-Climate Era,Shooting,Shooting,,
energy efficient,Shooting,Shooting,,
energy guzzling,Shooting,Shooting,,
energy Internet,Shooting,Shooting,,
energy poverty,Shooting,Shooting,,
energy supply and demand,Shooting,Shooting,,
environmental regulations,Shooting,Shooting,,
environmentalism,Shooting,Shooting,,
extinction event,Shooting,Shooting,,
FEMA,Shooting,Shooting,,
flattener,Shooting,Shooting,,
flood,Shooting,Shooting,,
fly ash concrete,Shooting,Shooting,,
forest fire,Shooting,Shooting,,
fossil fuels,Shooting,Shooting,,
gas guzzling,Shooting,Shooting,,
gasoline tax,Shooting,Shooting,,
geopolitical,Shooting,Shooting,,
geothermal,Shooting,Shooting,,
glacier melt,Shooting,Shooting,,
global growth,Shooting,Shooting,,
global warming,Shooting,Shooting,,
global weather,Shooting,Shooting,,
global weirding,Shooting,Shooting,,
globalization,Shooting,Shooting,,
